CODELIST_LONG_NAME,CODELIST_SHORT_NAME,CODELIST_CODE,CODE
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000036
Action Taken with Study Treatment Numeric,ACNN,SN000005,S003958
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C48660
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C49501
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C49502
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C49503
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C49504
Action Taken with Study Treatment Subset 01,ACN_01,C66767,C49505
Action Taken with Study Treatment Subset 03,ACN_03,C66767,C48660
Action Taken with Study Treatment Subset 03,ACN_03,C66767,C49502
Acute Coronary Syndrome Presentation Category,ACSPCAT,C101865,C101888
Acute Coronary Syndrome Presentation Category,ACSPCAT,C101865,C17649
Acute Coronary Syndrome Presentation Category,ACSPCAT,C101865,C66911
Acute Coronary Syndrome Presentation Category,ACSPCAT,C101865,C66914
Acute Coronary Syndrome Presentation Category,ACSPCAT,C101865,C80383
Adjudication Category,AJCAT,SN000785,S006681
Adjudication Observation Object,AOOBJ,SN001125,S001839
Adjudication Observation Object,AOOBJ,SN001125,S012287
Adjudication Observation Object,AOOBJ,SN001125,S012288
Adjudication Observation Object,AOOBJ,SN001125,S012289
Adjudication Observation Object,AOOBJ,SN001125,S012290
Adjudication Observation Object,AOOBJ,SN001125,S012291
Adjudication Observation Object,AOOBJ,SN001125,S012292
Adjudication Observation Object,AOOBJ,SN001125,S012293
Adjudication Observation Object,AOOBJ,SN001125,S012294
Adjudication Observation Object,AOOBJ,SN001125,S012295
Adjudication Observation Object,AOOBJ,SN001125,S012296
Adjudication Observation Object,AOOBJ,SN001125,SC28554
Adjudication Observation Object,AOOBJ,SN001125,SC50577
Adjudication Observation Test Code,AOTESTCD,SN001127,S012299
Adjudication Observation Test Code,AOTESTCD,SN001127,S012300
Adjudication Observation Test Code,AOTESTCD,SN001127,S012301
Adjudication Observation Test Code,AOTESTCD,SN001127,S012302
Adjudication Observation Test Code,AOTESTCD,SN001127,S012303
Adjudication Observation Test Code,AOTESTCD,SN001127,S012304
Adjudication Observation Test Code,AOTESTCD,SN001127,S012305
Adjudication Observation Test Code,AOTESTCD,SN001127,S012306
Adjudication Observation Test Code,AOTESTCD,SN001127,S032096
Adjudication Observation Test Code,AOTESTCD,SN001127,S032097
Adjudication Observation Test Code,AOTESTCD,SN001127,S032098
Adjudication Observation Test Code,AOTESTCD,SN001127,SC124331
Adjudication Observation Test Code,AOTESTCD,SN001127,SC41255
Adjudication Observation Test Code,AOTESTCD,SN001127,SC99531
Adjudication Observation Test Name,AOTEST,SN001126,S012299
Adjudication Observation Test Name,AOTEST,SN001126,S012300
Adjudication Observation Test Name,AOTEST,SN001126,S012301
Adjudication Observation Test Name,AOTEST,SN001126,S012302
Adjudication Observation Test Name,AOTEST,SN001126,S012303
Adjudication Observation Test Name,AOTEST,SN001126,S012304
Adjudication Observation Test Name,AOTEST,SN001126,S012305
Adjudication Observation Test Name,AOTEST,SN001126,S012306
Adjudication Observation Test Name,AOTEST,SN001126,S032096
Adjudication Observation Test Name,AOTEST,SN001126,S032097
Adjudication Observation Test Name,AOTEST,SN001126,S032098
Adjudication Observation Test Name,AOTEST,SN001126,SC124331
Adjudication Observation Test Name,AOTEST,SN001126,SC41255
Adjudication Observation Test Name,AOTEST,SN001126,SC99531
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S001979
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S001986
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S004162
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S004778
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S004779
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S006633
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S006634
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S006635
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S006670
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S007148
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S007223
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S007224
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S009118
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S009416
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,S009458
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,SC111120
Adjustment Reason for Concomitant Treatment,CMADJ,SN000790,SC17649
Age Group (EudraCT),AGEGRPE,SN000018,S000109
Age Group (EudraCT),AGEGRPE,SN000018,S000110
Age Group (EudraCT),AGEGRPE,SN000018,S000111
Age Group (EudraCT),AGEGRPE,SN000018,S000112
Age Group (EudraCT),AGEGRPE,SN000018,S000113
Age Group (EudraCT),AGEGRPE,SN000018,S000114
Age Group (EudraCT),AGEGRPE,SN000018,S000115
Age Group (EudraCT),AGEGRPE,SN000018,S000117
Age Group (EudraCT),AGEGRPE,SN000018,S009907
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000118
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000126
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000131
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000134
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000135
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000136
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000137
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000138
Age Group (EudraCT) Numeric,AGEGRPEN,SN000019,S000139
Age Group (Pediatric),AGEGRPP,SN000020,S000140
Age Group (Pediatric),AGEGRPP,SN000020,S000141
Age Group (Pediatric),AGEGRPP,SN000020,S000142
Age Group (Pediatric),AGEGRPP,SN000020,S000143
Age Group (Pediatric),AGEGRPP,SN000020,S000144
Age Group (Pediatric) Numeric,AGEGRPPN,SN000021,S000127
Age Group (Pediatric) Numeric,AGEGRPPN,SN000021,S000132
Age Group (Pediatric) Numeric,AGEGRPPN,SN000021,S000145
Age Group (Pediatric) Numeric,AGEGRPPN,SN000021,S000146
Age Group (Pediatric) Numeric,AGEGRPPN,SN000021,S000147
Age Range,AGERANG,SN001909,S004830
Age Range,AGERANG,SN001909,S004832
Age Range,AGERANG,SN001909,S004833
Age Range,AGERANG,SN001909,S007728
Age Range,AGERANG,SN001909,S031576
Age Unit,AGEU,C66781,C25301
Age Unit,AGEU,C66781,C25529
Age Unit,AGEU,C66781,C29844
Age Unit,AGEU,C66781,C29846
Age Unit,AGEU,C66781,C29848
AJCC Tumor Grade Response,AJCCGRD,SC135012,SC113730
AJCC Tumor Grade Response,AJCCGRD,SC135012,SC28077
AJCC Tumor Grade Response,AJCCGRD,SC135012,SC28078
AJCC Tumor Grade Response,AJCCGRD,SC135012,SC28079
AJCC Tumor Grade Response,AJCCGRD,SC135012,SC28082
Allergic Etiology,ETIOL,SN000221,S001109
Allergic Etiology,ETIOL,SN000221,S001110
Allergic Etiology,ETIOL,SN000221,S006676
Allergic Etiology,ETIOL,SN000221,S006677
Allergic Etiology,ETIOL,SN000221,S007977
Allergic Etiology,ETIOL,SN000221,S008622
Allergic Etiology,ETIOL,SN000221,S008736
Allergic Etiology,ETIOL,SN000221,SC17649
Allergic Etiology,ETIOL,SN000221,SC1909
Allergic Etiology,ETIOL,SN000221,SC41132
Allergic Rhinitis-Visual Analog Scale Test Code,ARVAS1TC,SN001205,S012553
Allergic Rhinitis-Visual Analog Scale Test Name,ARVAS1TN,SN001204,S012553
ALLRED Score,ALLREDSR,SN002137,S007781
ALLRED Score,ALLREDSR,SN002137,S032157
ALLRED Score,ALLREDSR,SN002137,S032158
ALLRED Score,ALLREDSR,SN002137,S032159
ALLRED Score,ALLREDSR,SN002137,S032160
ALLRED Score,ALLREDSR,SN002137,S032161
ALLRED Score,ALLREDSR,SN002137,S032162
ALLRED Score,ALLREDSR,SN002137,S032163
ALLRED Score,ALLREDSR,SN002137,S032164
ALLRED Score,ALLREDSR,SN002137,SC17998
Allred Total Score Results,ALLREDTR,SN000805,S007771
Allred Total Score Results,ALLREDTR,SN000805,S007774
Allred Total Score Results,ALLREDTR,SN000805,S007775
Allred Total Score Results,ALLREDTR,SN000805,S007776
Allred Total Score Results,ALLREDTR,SN000805,S007777
Allred Total Score Results,ALLREDTR,SN000805,S007778
Allred Total Score Results,ALLREDTR,SN000805,S007779
Allred Total Score Results,ALLREDTR,SN000805,S007780
Allred Total Score Results,ALLREDTR,SN000805,S007781
Allred Total Score Results,ALLREDTR,SN000805,SC17998
Alteration Type,ALTTYP,SN000691,SC38757
Ambulation Score Results,AMBUR,SN001942,S005386
Ambulation Score Results,AMBUR,SN001942,S005387
Ambulation Score Results,AMBUR,SN001942,S005388
Ambulation Score Results,AMBUR,SN001942,S005389
Ambulation Score Results,AMBUR,SN001942,S005390
Ambulation Score Results,AMBUR,SN001942,S005391
Ambulation Score Results,AMBUR,SN001942,S005392
Ambulation Score Results,AMBUR,SN001942,S005393
Ambulation Score Results,AMBUR,SN001942,S005394
Ambulation Score Results,AMBUR,SN001942,S005395
Ambulation Score Results,AMBUR,SN001942,S005396
Ambulation Score Results,AMBUR,SN001942,S005397
Ambulation Score Results,AMBUR,SN001942,S005398
Ambulation Score Test Code,AMBU01TC,SN001940,S005384
Ambulation Score Test Name,AMBU01TN,SN001941,S005384
Amount of Substance,SUAM,SN000566,S001121
Amount of Substance,SUAM,SN000566,S003703
Amount of Substance Subset 01,SUAM_01,SN000566,S001121
Amount of Substance Subset 01,SUAM_01,SN000566,S003703
Analysis Purpose,ANLPURP,C117745,C98724
Analysis Purpose,ANLPURP,C117745,C98772
Analysis Purpose,ANLPURP,C117745,C98781
Analysis Reason,ANLREAS,C117744,C117750
Analysis Reason,ANLREAS,C117744,C117751
Analysis Reason,ANLREAS,C117744,C117752
Analysis Reason,ANLREAS,C117744,C117753
Anatomical Location,LOC,C74456,C102285
Anatomical Location,LOC,C74456,C102286
Anatomical Location,LOC,C74456,C102287
Anatomical Location,LOC,C74456,C102288
Anatomical Location,LOC,C74456,C102289
Anatomical Location,LOC,C74456,C102290
Anatomical Location,LOC,C74456,C102291
Anatomical Location,LOC,C74456,C102292
Anatomical Location,LOC,C74456,C102293
Anatomical Location,LOC,C74456,C102294
Anatomical Location,LOC,C74456,C102295
Anatomical Location,LOC,C74456,C102296
Anatomical Location,LOC,C74456,C102297
Anatomical Location,LOC,C74456,C102298
Anatomical Location,LOC,C74456,C102299
Anatomical Location,LOC,C74456,C102300
Anatomical Location,LOC,C74456,C102301
Anatomical Location,LOC,C74456,C102302
Anatomical Location,LOC,C74456,C102303
Anatomical Location,LOC,C74456,C102304
Anatomical Location,LOC,C74456,C102305
Anatomical Location,LOC,C74456,C102306
Anatomical Location,LOC,C74456,C102307
Anatomical Location,LOC,C74456,C102308
Anatomical Location,LOC,C74456,C102309
Anatomical Location,LOC,C74456,C102310
Anatomical Location,LOC,C74456,C102311
Anatomical Location,LOC,C74456,C102312
Anatomical Location,LOC,C74456,C102313
Anatomical Location,LOC,C74456,C102314
Anatomical Location,LOC,C74456,C102315
Anatomical Location,LOC,C74456,C102316
Anatomical Location,LOC,C74456,C102317
Anatomical Location,LOC,C74456,C102318
Anatomical Location,LOC,C74456,C102319
Anatomical Location,LOC,C74456,C102320
Anatomical Location,LOC,C74456,C102321
Anatomical Location,LOC,C74456,C102322
Anatomical Location,LOC,C74456,C102323
Anatomical Location,LOC,C74456,C102324
Anatomical Location,LOC,C74456,C102325
Anatomical Location,LOC,C74456,C102326
Anatomical Location,LOC,C74456,C102327
Anatomical Location,LOC,C74456,C102328
Anatomical Location,LOC,C74456,C102329
Anatomical Location,LOC,C74456,C102330
Anatomical Location,LOC,C74456,C102331
Anatomical Location,LOC,C74456,C102332
Anatomical Location,LOC,C74456,C102333
Anatomical Location,LOC,C74456,C102334
Anatomical Location,LOC,C74456,C102335
Anatomical Location,LOC,C74456,C102336
Anatomical Location,LOC,C74456,C102337
Anatomical Location,LOC,C74456,C102338
Anatomical Location,LOC,C74456,C102339
Anatomical Location,LOC,C74456,C102340
Anatomical Location,LOC,C74456,C102341
Anatomical Location,LOC,C74456,C102342
Anatomical Location,LOC,C74456,C102343
Anatomical Location,LOC,C74456,C102344
Anatomical Location,LOC,C74456,C102345
Anatomical Location,LOC,C74456,C102346
Anatomical Location,LOC,C74456,C102347
Anatomical Location,LOC,C74456,C102348
Anatomical Location,LOC,C74456,C102349
Anatomical Location,LOC,C74456,C102350
Anatomical Location,LOC,C74456,C102351
Anatomical Location,LOC,C74456,C102352
Anatomical Location,LOC,C74456,C102353
Anatomical Location,LOC,C74456,C102354
Anatomical Location,LOC,C74456,C102425
Anatomical Location,LOC,C74456,C102627
Anatomical Location,LOC,C74456,C102716
Anatomical Location,LOC,C74456,C103384
Anatomical Location,LOC,C74456,C103417
Anatomical Location,LOC,C74456,C103426
Anatomical Location,LOC,C74456,C103428
Anatomical Location,LOC,C74456,C103429
Anatomical Location,LOC,C74456,C103438
Anatomical Location,LOC,C74456,C103439
Anatomical Location,LOC,C74456,C103447
Anatomical Location,LOC,C74456,C103454
Anatomical Location,LOC,C74456,C103455
Anatomical Location,LOC,C74456,C103456
Anatomical Location,LOC,C74456,C103818
Anatomical Location,LOC,C74456,C103912
Anatomical Location,LOC,C74456,C103913
Anatomical Location,LOC,C74456,C103914
Anatomical Location,LOC,C74456,C103915
Anatomical Location,LOC,C74456,C103916
Anatomical Location,LOC,C74456,C105446
Anatomical Location,LOC,C74456,C105447
Anatomical Location,LOC,C74456,C111287
Anatomical Location,LOC,C74456,C112327
Anatomical Location,LOC,C74456,C112328
Anatomical Location,LOC,C74456,C112399
Anatomical Location,LOC,C74456,C112404
Anatomical Location,LOC,C74456,C114186
Anatomical Location,LOC,C74456,C114187
Anatomical Location,LOC,C74456,C114188
Anatomical Location,LOC,C74456,C114189
Anatomical Location,LOC,C74456,C114190
Anatomical Location,LOC,C74456,C114191
Anatomical Location,LOC,C74456,C114192
Anatomical Location,LOC,C74456,C114193
Anatomical Location,LOC,C74456,C114194
Anatomical Location,LOC,C74456,C114195
Anatomical Location,LOC,C74456,C114196
Anatomical Location,LOC,C74456,C114197
Anatomical Location,LOC,C74456,C114198
Anatomical Location,LOC,C74456,C114199
Anatomical Location,LOC,C74456,C114200
Anatomical Location,LOC,C74456,C114201
Anatomical Location,LOC,C74456,C114202
Anatomical Location,LOC,C74456,C114203
Anatomical Location,LOC,C74456,C114204
Anatomical Location,LOC,C74456,C114205
Anatomical Location,LOC,C74456,C114206
Anatomical Location,LOC,C74456,C114207
Anatomical Location,LOC,C74456,C114208
Anatomical Location,LOC,C74456,C114273
Anatomical Location,LOC,C74456,C114274
Anatomical Location,LOC,C74456,C114275
Anatomical Location,LOC,C74456,C114276
Anatomical Location,LOC,C74456,C116112
Anatomical Location,LOC,C74456,C116163
Anatomical Location,LOC,C74456,C116164
Anatomical Location,LOC,C74456,C116165
Anatomical Location,LOC,C74456,C116166
Anatomical Location,LOC,C74456,C116167
Anatomical Location,LOC,C74456,C116168
Anatomical Location,LOC,C74456,C116169
Anatomical Location,LOC,C74456,C116170
Anatomical Location,LOC,C74456,C116171
Anatomical Location,LOC,C74456,C116172
Anatomical Location,LOC,C74456,C116173
Anatomical Location,LOC,C74456,C116174
Anatomical Location,LOC,C74456,C116175
Anatomical Location,LOC,C74456,C116176
Anatomical Location,LOC,C74456,C116177
Anatomical Location,LOC,C74456,C116178
Anatomical Location,LOC,C74456,C116179
Anatomical Location,LOC,C74456,C116180
Anatomical Location,LOC,C74456,C116181
Anatomical Location,LOC,C74456,C116182
Anatomical Location,LOC,C74456,C116183
Anatomical Location,LOC,C74456,C117736
Anatomical Location,LOC,C74456,C117868
Anatomical Location,LOC,C74456,C117869
Anatomical Location,LOC,C74456,C117870
Anatomical Location,LOC,C74456,C117871
Anatomical Location,LOC,C74456,C117872
Anatomical Location,LOC,C74456,C117873
Anatomical Location,LOC,C74456,C117874
Anatomical Location,LOC,C74456,C117875
Anatomical Location,LOC,C74456,C117876
Anatomical Location,LOC,C74456,C119295
Anatomical Location,LOC,C74456,C120670
Anatomical Location,LOC,C74456,C120671
Anatomical Location,LOC,C74456,C120672
Anatomical Location,LOC,C74456,C120673
Anatomical Location,LOC,C74456,C120674
Anatomical Location,LOC,C74456,C120675
Anatomical Location,LOC,C74456,C120676
Anatomical Location,LOC,C74456,C12220
Anatomical Location,LOC,C74456,C12221
Anatomical Location,LOC,C74456,C12222
Anatomical Location,LOC,C74456,C12226
Anatomical Location,LOC,C74456,C12230
Anatomical Location,LOC,C74456,C12231
Anatomical Location,LOC,C74456,C12246
Anatomical Location,LOC,C74456,C12250
Anatomical Location,LOC,C74456,C12251
Anatomical Location,LOC,C74456,C12252
Anatomical Location,LOC,C74456,C12253
Anatomical Location,LOC,C74456,C12254
Anatomical Location,LOC,C74456,C12255
Anatomical Location,LOC,C74456,C12256
Anatomical Location,LOC,C74456,C12257
Anatomical Location,LOC,C74456,C12258
Anatomical Location,LOC,C74456,C12259
Anatomical Location,LOC,C74456,C12262
Anatomical Location,LOC,C74456,C12263
Anatomical Location,LOC,C74456,C12265
Anatomical Location,LOC,C74456,C12268
Anatomical Location,LOC,C74456,C12269
Anatomical Location,LOC,C74456,C12270
Anatomical Location,LOC,C74456,C12271
Anatomical Location,LOC,C74456,C12274
Anatomical Location,LOC,C74456,C12275
Anatomical Location,LOC,C74456,C12276
Anatomical Location,LOC,C74456,C12277
Anatomical Location,LOC,C74456,C12280
Anatomical Location,LOC,C74456,C12286
Anatomical Location,LOC,C74456,C12290
Anatomical Location,LOC,C74456,C12291
Anatomical Location,LOC,C74456,C12292
Anatomical Location,LOC,C74456,C12295
Anatomical Location,LOC,C74456,C12298
Anatomical Location,LOC,C74456,C12299
Anatomical Location,LOC,C74456,C12308
Anatomical Location,LOC,C74456,C12309
Anatomical Location,LOC,C74456,C12311
Anatomical Location,LOC,C74456,C12314
Anatomical Location,LOC,C74456,C12320
Anatomical Location,LOC,C74456,C12328
Anatomical Location,LOC,C74456,C12331
Anatomical Location,LOC,C74456,C12332
Anatomical Location,LOC,C74456,C12336
Anatomical Location,LOC,C74456,C12341
Anatomical Location,LOC,C74456,C12342
Anatomical Location,LOC,C74456,C12343
Anatomical Location,LOC,C74456,C12346
Anatomical Location,LOC,C74456,C12347
Anatomical Location,LOC,C74456,C12351
Anatomical Location,LOC,C74456,C12352
Anatomical Location,LOC,C74456,C12353
Anatomical Location,LOC,C74456,C12354
Anatomical Location,LOC,C74456,C12355
Anatomical Location,LOC,C74456,C12356
Anatomical Location,LOC,C74456,C12359
Anatomical Location,LOC,C74456,C12360
Anatomical Location,LOC,C74456,C12363
Anatomical Location,LOC,C74456,C12366
Anatomical Location,LOC,C74456,C12367
Anatomical Location,LOC,C74456,C12372
Anatomical Location,LOC,C74456,C12376
Anatomical Location,LOC,C74456,C12377
Anatomical Location,LOC,C74456,C12378
Anatomical Location,LOC,C74456,C12379
Anatomical Location,LOC,C74456,C12380
Anatomical Location,LOC,C74456,C12381
Anatomical Location,LOC,C74456,C12382
Anatomical Location,LOC,C74456,C12383
Anatomical Location,LOC,C74456,C12384
Anatomical Location,LOC,C74456,C12385
Anatomical Location,LOC,C74456,C12386
Anatomical Location,LOC,C74456,C12387
Anatomical Location,LOC,C74456,C12388
Anatomical Location,LOC,C74456,C12389
Anatomical Location,LOC,C74456,C12390
Anatomical Location,LOC,C74456,C12391
Anatomical Location,LOC,C74456,C12392
Anatomical Location,LOC,C74456,C12393
Anatomical Location,LOC,C74456,C12394
Anatomical Location,LOC,C74456,C12398
Anatomical Location,LOC,C74456,C12399
Anatomical Location,LOC,C74456,C12400
Anatomical Location,LOC,C74456,C12401
Anatomical Location,LOC,C74456,C12402
Anatomical Location,LOC,C74456,C12403
Anatomical Location,LOC,C74456,C12404
Anatomical Location,LOC,C74456,C12405
Anatomical Location,LOC,C74456,C12407
Anatomical Location,LOC,C74456,C12408
Anatomical Location,LOC,C74456,C12409
Anatomical Location,LOC,C74456,C12410
Anatomical Location,LOC,C74456,C12412
Anatomical Location,LOC,C74456,C12413
Anatomical Location,LOC,C74456,C12414
Anatomical Location,LOC,C74456,C12415
Anatomical Location,LOC,C74456,C12416
Anatomical Location,LOC,C74456,C12417
Anatomical Location,LOC,C74456,C12418
Anatomical Location,LOC,C74456,C12419
Anatomical Location,LOC,C74456,C12420
Anatomical Location,LOC,C74456,C12421
Anatomical Location,LOC,C74456,C12422
Anatomical Location,LOC,C74456,C12423
Anatomical Location,LOC,C74456,C12424
Anatomical Location,LOC,C74456,C12425
Anatomical Location,LOC,C74456,C12426
Anatomical Location,LOC,C74456,C12427
Anatomical Location,LOC,C74456,C12428
Anatomical Location,LOC,C74456,C12429
Anatomical Location,LOC,C74456,C12431
Anatomical Location,LOC,C74456,C12432
Anatomical Location,LOC,C74456,C12433
Anatomical Location,LOC,C74456,C12434
Anatomical Location,LOC,C74456,C12438
Anatomical Location,LOC,C74456,C12439
Anatomical Location,LOC,C74456,C12440
Anatomical Location,LOC,C74456,C12441
Anatomical Location,LOC,C74456,C12442
Anatomical Location,LOC,C74456,C12443
Anatomical Location,LOC,C74456,C12444
Anatomical Location,LOC,C74456,C12445
Anatomical Location,LOC,C74456,C12446
Anatomical Location,LOC,C74456,C12447
Anatomical Location,LOC,C74456,C12448
Anatomical Location,LOC,C74456,C12451
Anatomical Location,LOC,C74456,C12452
Anatomical Location,LOC,C74456,C12453
Anatomical Location,LOC,C74456,C12458
Anatomical Location,LOC,C74456,C12459
Anatomical Location,LOC,C74456,C12464
Anatomical Location,LOC,C74456,C12466
Anatomical Location,LOC,C74456,C12467
Anatomical Location,LOC,C74456,C12468
Anatomical Location,LOC,C74456,C12469
Anatomical Location,LOC,C74456,C12470
Anatomical Location,LOC,C74456,C12499
Anatomical Location,LOC,C74456,C12502
Anatomical Location,LOC,C74456,C12503
Anatomical Location,LOC,C74456,C12509
Anatomical Location,LOC,C74456,C12510
Anatomical Location,LOC,C74456,C12511
Anatomical Location,LOC,C74456,C12512
Anatomical Location,LOC,C74456,C12608
Anatomical Location,LOC,C74456,C12664
Anatomical Location,LOC,C74456,C12665
Anatomical Location,LOC,C74456,C12666
Anatomical Location,LOC,C74456,C12667
Anatomical Location,LOC,C74456,C12669
Anatomical Location,LOC,C74456,C12670
Anatomical Location,LOC,C74456,C12671
Anatomical Location,LOC,C74456,C12674
Anatomical Location,LOC,C74456,C12677
Anatomical Location,LOC,C74456,C12678
Anatomical Location,LOC,C74456,C12679
Anatomical Location,LOC,C74456,C12681
Anatomical Location,LOC,C74456,C12682
Anatomical Location,LOC,C74456,C12683
Anatomical Location,LOC,C74456,C12687
Anatomical Location,LOC,C74456,C12688
Anatomical Location,LOC,C74456,C12693
Anatomical Location,LOC,C74456,C12694
Anatomical Location,LOC,C74456,C12695
Anatomical Location,LOC,C74456,C12696
Anatomical Location,LOC,C74456,C12700
Anatomical Location,LOC,C74456,C12702
Anatomical Location,LOC,C74456,C12709
Anatomical Location,LOC,C74456,C12711
Anatomical Location,LOC,C74456,C12713
Anatomical Location,LOC,C74456,C12714
Anatomical Location,LOC,C74456,C12715
Anatomical Location,LOC,C74456,C12716
Anatomical Location,LOC,C74456,C12717
Anatomical Location,LOC,C74456,C12718
Anatomical Location,LOC,C74456,C12719
Anatomical Location,LOC,C74456,C12722
Anatomical Location,LOC,C74456,C12723
