"Order","Ordinal","Label","Question Text","Datatype","Format","Mapping","Completion","Note","Terminology"
"21","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"22","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"23","5","4. Prepare the water, towels, and soap for washing, taking a bath, or a shower","","","","","","",""
"24","1","Mapping 1","","","","QSTESTCD=""DAITM04""","","",""
"25","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"26","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"27","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"28","6","5.Wash and dry completely all parts of his/her body safely","","","","","","",""
"29","1","Mapping 1","","","","QSTESTCD=""DAITM05""","","",""
"30","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"31","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"32","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"33","7","6. Brush his/her teeth or care for his/her dentures appropriately","","","","","","",""
"34","1","Mapping 1","","","","QSTESTCD=""DAITM06""","","",""
"35","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"36","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"37","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"38","8","7. Care for his/her hair (wash and comb)","","","","","","",""
"39","1","Mapping 1","","","","QSTESTCD=""DAITM07""","","",""
"40","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"41","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"42","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"43","4","DRESSING","","","","","","",""
"44","1","Mapping 1","","","","QSSCAT='DRESSING""","","",""
"45","2","8.Undertake to dress himself/herself","","","","","","",""
"46","1","Mapping 1","","","","QSTESTCD=""DAITM08""","","",""
"47","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"48","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"49","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"50","3","9. Choose appropriate clothing (with regard to the occasion, neatness, the weather, and color combination)","","","","","","",""
"51","1","Mapping 1","","","","QSTESTCD=""DAITM09""","","",""
"52","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"53","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"54","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"55","4","10. Dress himself/herself in the appropriate order (undergarments, pant/dress, shoes)","","","","","","",""
"56","1","Mapping 1","","","","QSTESTCD=""DAITM10""","","",""
"57","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"58","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"59","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"60","5","11. Dress himself/herself completely","","","","","","",""
"61","1","Mapping 1","","","","QSTESTCD=""DAITM11""","","",""
"62","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"63","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"64","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"65","6","12. Undress himself/herself completely","","","","","","",""
"66","1","Mapping 1","","","","QSTESTCD=""DAITM12""","","",""
"67","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"68","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"69","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"70","5","CONTINENCE","","","","","","",""
"71","1","Mapping 1","","","","QSSCAT='CONTINENCE""","","",""
"72","2","13. Decide to use the toilet at appropriate times","","","","","","",""
"73","1","Mapping 1","","","","QSTESTCD=""DAITM13""","","",""
"74","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"75","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"76","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"77","3","14. Use the toilet without ""accidents""","","","","","","",""
"78","1","Mapping 1","","","","QSTESTCD=""DAITM14""","","",""
"79","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"80","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"81","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"82","6","EATING","","","","","","",""
"83","1","Mapping 1","","","","QSSCAT='EATING""","","",""
"84","2","15. Decide that he/she needs to eat","","","","","","",""
"85","1","Mapping 1","","","","QSTESTCD=""DAITM15""","","",""
"86","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"87","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"88","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"89","3","16. Choose appropriate utensils and seasonings when eating","","","","","","",""
"90","1","Mapping 1","","","","QSTESTCD=""DAITM16""","","",""
"91","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"92","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"93","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"94","4","17. Eat his/her meals at a normal pace and with appropriate manners","","","","","","",""
"95","1","Mapping 1","","","","QSTESTCD=""DAITM17""","","",""
"96","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"97","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"98","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"99","7","MEAL PREPARATION","","","","","","",""
"100","1","Mapping 1","","","","QSSCAT='MEAL PREPARATION""","","",""
"101","2","18. Undertake to prepare a light meal or snack for himself/herself","","","","","","",""
"102","1","Mapping 1","","","","QSTESTCD=""DAITM18""","","",""
"103","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"104","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"105","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"106","3","19. Adequately plan a light meal or snack (ingredients, cookware)","","","","","","",""
"107","1","Mapping 1","","","","QSTESTCD=""DAITM19""","","",""
"108","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"109","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"110","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"111","4","20. Prepare or cook a light meal or a snack safely","","","","","","",""
"112","1","Mapping 1","","","","QSTESTCD=""DAITM20""","","",""
"113","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"114","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"115","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"116","8","TELEPHONING","","","","","","",""
"117","1","Mapping 1","","","","QSSCAT='TELEPHONING""","","",""
"118","2","21. Attempt to telephone someone at a suitable time","","","","","","",""
"119","1","Mapping 1","","","","QSTESTCD=""DAITM21""","","",""
"120","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"121","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"122","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"123","3","22. Find and dial a telephone number correctly","","","","","","",""
"124","1","Mapping 1","","","","QSTESTCD=""DAITM22""","","",""
"125","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"126","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"127","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"128","4","23. Carry out an appropriate telephone conversation","","","","","","",""
"129","1","Mapping 1","","","","QSTESTCD=""DAITM23""","","",""
"130","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"131","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"132","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"133","5","24. Write and convey a telephone message adequately","","","","","","",""
"134","1","Mapping 1","","","","QSTESTCD=""DAITM24""","","",""
"135","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"136","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"137","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"138","9","GOING ON AN OUTING","","","","","","",""
"139","1","Mapping 1","","","","QSSCAT='GOING ON AN OUTING""","","",""
"140","2","25. Undertake to go out (walk, visit, shop) at an appropriate time","","","","","","",""
"141","1","Mapping 1","","","","QSTESTCD=""DAITM25""","","",""
"142","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"143","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"144","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"145","3","26. Adequately organize an outing with respect to transportation, keys, destination, weather, necessary money, shopping list","","","","","","",""
"146","1","Mapping 1","","","","QSTESTCD=""DAITM26""","","",""
"147","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"148","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"149","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"150","4","27. Go out and reach a familiar destination without getting lost","","","","","","",""
"151","1","Mapping 1","","","","QSTESTCD=""DAITM27""","","",""
"152","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"153","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"154","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"155","5","28. Safely take the adequate mode of transportation (car, bus, taxi)","","","","","","",""
"156","1","Mapping 1","","","","QSTESTCD=""DAITM28""","","",""
"157","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"158","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"159","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"160","6","29. Return from the store with the appropriate items","","","","","","",""
"161","1","Mapping 1","","","","QSTESTCD=""DAITM29""","","",""
"162","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"163","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"164","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"165","10","FINANCE AND CORRESPONDENCE","","","","","","",""
"166","1","Mapping 1","","","","QSSCAT='FINANCE AND CORRESPONDENCE""","","",""
"167","2","30. Show an interest in his/her personal affairs such as his/her finances and written correspondence","","","","","","",""
"168","1","Mapping 1","","","","QSTESTCD=""DAITM30""","","",""
"169","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"170","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"171","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"172","3","31. Organize his/her finances to pay his/her bills (cheques, bankbook, bills)","","","","","","",""
"173","1","Mapping 1","","","","QSTESTCD=""DAITM31""","","",""
"174","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"175","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"176","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"177","4","32. Adequately organize his/her correspondence with respect to stationery, address, stamps","","","","","","",""
"178","1","Mapping 1","","","","QSTESTCD=""DAITM32""","","",""
"179","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"180","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"181","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"182","5","33. Handle adequately his/her money (make change)","","","","","","",""
"183","1","Mapping 1","","","","QSTESTCD=""DAITM33""","","",""
"184","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"185","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"186","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"187","11","MEDICATIONS","","","","","","",""
"188","1","Mapping 1","","","","QSSCAT='MEDICATIONS""","","",""
"189","2","34. Decide to take his/her medications at the correct time","","","","","","",""
"190","1","Mapping 1","","","","QSTESTCD=""DAITM34""","","",""
"191","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"192","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"193","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"194","3","35. Take his/her medications as prescribed (according to the right dosage)","","","","","","",""
"195","1","Mapping 1","","","","QSTESTCD=""DAITM35""","","",""
"196","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"197","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"198","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"199","12","LEISURE AND HOUSEWORK","","","","","","",""
"200","1","Mapping 1","","","","QSSCAT='LEISURE AND HOUSEWORK""","","",""
"201","2","36. Show an interest in leisure activity(ies)","","","","","","",""
"202","1","Mapping 1","","","","QSTESTCD=""DAITM36""","","",""
"203","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"204","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"205","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"206","3","37.Take an interest in household chores that he/she used to perform in the past","","","","","","",""
"207","1","Mapping 1","","","","QSTESTCD=""DAITM37""","","",""
"208","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"209","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"210","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"211","4","38. Plan and organize adequately household chores that he/she used to perform in the past","","","","","","",""
"212","1","Mapping 1","","","","QSTESTCD=""DAITM38""","","",""
"213","2","Initiation","Initiation","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"214","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"215","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
