"Ordinal","Name","Label","Datatype","Format","CT and Format","CT","Role","Description","Core"
"20","AEPRESP","Pre-Specified Adverse Event","Character","","(NY)","NY C66742 v2.0.0","None","A value of ""Y"" indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)","Permissible"
"21","AEBODSYS","Body System or Organ Class","Character","","","","Record","Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.","Expected"
"22","AEBDSYCD","Body System or Organ Class Code","Numeric","MedDRA","MedDRA","","None","Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC.","Expected"
"23","AESOC","Primary System Organ Class","Character","MedDRA","MedDRA","","None","Dictionary-derived text description of the primary System Organ Class. Will be the same as AEBODSYS if the primary SOC was used for analysis.","Expected"
"24","AESOCCD","Primary System Organ Class Code","Numeric","MedDRA","MedDRA","","None","Dictionary-derived code for the primary System Organ Class. Will be the same as AEBDSYCD if the primary SOC was used for analysis.","Expected"
"25","AELOC","Location of Event","Character","","(LOC)","LOC C74456 v9.0.0","Record","Describes anatomical location relevant for the event (e.g., LEFT ARM for skin rash).","Permissible"
"26","AESEV","Severity/Intensity","Character","","(AESEV)","AESEV C66769 v3.0.0","Record","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.","Permissible"
"27","AESER","Serious Event","Character","","(NY)","NY C66742 v2.0.0","Record","Is this a serious event?","Expected"
"28","AEACN","Action Taken with Study Treatment","Character","","(ACN)","ACN C66767 v4.0.0","Record","Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE","Expected"
"29","AEACNOTH","Other Action Taken","Character","","","","Record","Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.""","Permissible"
"30","AEREL","Causality","Character","","","","Record","Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable","Expected"
"31","AERELNST","Relationship to Non-Study Treatment","Character","","","","Record","Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."".","Permissible"
"32","AEPATT","Pattern of Adverse Event","Character","","","","Record","Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.","Permissible"
"33","AEOUT","Outcome of Adverse Event","Character","","(OUT)","OUT C66768 v3.0.0","Record","Description of the outcome of an event.","Permissible"
"34","AESCAN","Involves Cancer","Character","","(NY)","NY C66742 v2.0.0","Record","Was the serious event associated with the development of cancer?","Permissible"
"35","AESCONG","Congenital Anomaly or Birth Defect","Character","","(NY)","NY C66742 v2.0.0","Record","Was the serious event associated with congenital anomaly or birth defect?","Permissible"
"36","AESDISAB","Persist or Signif Disability/Incapacity","Character","","(NY)","NY C66742 v2.0.0","Record","Did the serious event result in persistent or significant disability/incapacity?","Permissible"
"37","AESDTH","Results in Death","Character","","(NY)","NY C66742 v2.0.0","Record","Did the serious event result in death?","Permissible"
"38","AESHOSP","Requires or Prolongs Hospitalization","Character","","(NY)","NY C66742 v2.0.0","Record","Did the serious event require or prolong hospitalization?","Permissible"
"39","AESLIFE","Is Life Threatening","Character","","(NY)","NY C66742 v2.0.0","Record","Was the serious event life threatening?","Permissible"
"40","AESOD","Occurred with Overdose","Character","","(NY)","NY C66742 v2.0.0","Record","Did the serious event occur with an overdose?","Permissible"
"41","AESMIE","Other Medically Important Serious Event","Character","","(NY)","NY C66742 v2.0.0","Record","Do additional categories for seriousness apply?","Permissible"
"42","AECONTRT","Concomitant or Additional Trtmnt Given","Character","","(NY)","NY C66742 v2.0.0","Record","Was another treatment given because of the occurrence of the event?","Permissible"
"43","AETOXGR","Standard Toxicity Grade","Character","","","","Record","Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Section 6.2.1.1, Assumption 6d). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2"").","Permissible"
"44","AESTDTC","Start Date/Time of Adverse Event","Character","ISO 8601","ISO 8601","","Timing","","Expected"
"45","AEENDTC","End Date/Time of Adverse Event","Character","ISO 8601","ISO 8601","","Timing","","Expected"
"46","AESTDY","Study Day of Start of Adverse Event","Numeric","","","","Timing","Study day of start of adverse event relative to the sponsor-defined RFSTDTC.","Permissible"
"47","AEENDY","Study Day of End of Adverse Event","Numeric","","","","Timing","Study day of end of event relative to the sponsor-defined RFSTDTC.","Permissible"
"48","AEDUR","Duration of Adverse Event","Character","ISO 8601","ISO 8601","","Timing","Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).","Permissible"
"49","AEENRF","End Relative to Reference Period","Character","","(STENRF)","STENRF C66728 v4.0.0","Timing","Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial.","Permissible"
"50","AEENRTPT","End Relative to Reference Time Point","Character","BEFORE, AFTER, COINCIDENT, ONGOING, U","BEFORE, AFTER, COINCIDENT, ONGOING, U","","Timing","Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.","Permissible"
"51","AEENTPT","End Reference Time Point","Character","","","","Timing","Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Permissible"
